que,"We can run the program with ÿÿÿÿÿÿÿÿÿ
example_data,option of Start Menu."
example_data,PDA stands for = -----------
example_data,Files or Folders can be zipped.
example_data,"using ----------- various components
example_data,on motherboard communicate with each other."
example_data,"The period of first generation
example_data,computer was in between ------- to 1956."
example_data,"On status bar, Views like Print Layout,
example_data,Full Screen Reading View, Web Layout, Outline Draft etc. These buttons are called as ""View Buttons""."
example_data,"If we want more space from the left
example_data,margin for a particular paragraph, then use ???? indent"
example_data,"In MS Word, In order to save a file,
example_data,on the Standard toolbar, click on the Save button."
example_data,"Portrait and Landscape are ?Page
example_data,Orientation."
example_data,"There are ?????.. Alignments in
example_data,MS-WORD."
example_data,"Toolbar near to File Menu is called as
example_data,???.."
example_data,"To select a whole row, click the
example_data,mouse pointer on the number of ÿÿÿÿÿÿÿ"
example_data,"With ÿÿÿÿÿÿÿÿÿfunction, we get minimum
example_data,value in Range"
example_data,"If we increase the height of the row,
example_data,the text matter automatically gets shifted to the ÿÿÿÿÿÿÿÿÿof the Cell"
example_data,"Underline is used to make the text
example_data,ÿÿÿÿÿÿÿÿÿÿÿin the selected cells"
example_data,"In PowerPoint Broadcast Slide Show
example_data,option is available under
example_data,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿribbon."
example_data,"To add copy of current slide -------------
example_data,--- command is used by clicking on the slide with mouse."
example_data,"To Change Slide layout ----------------- option selected on Home tab in slide
example_data,group."
example_data,"Presentation files are made in ----------
example_data,- type of software."
example_data,"Video file can be inserted in the slide
example_data,through -"
example_data,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿIs Search Engine.
example_data,"You can send attachment with E-Mail,
example_data,by ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿIt"
example_data,"Main computer on Network is called
example_data,as ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ"
example_data,"ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿShows a location address
example_data,on the Browser."
example_data,"While Message data sending,
example_data,connecting and breaking are controlled by ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ"
