que,"We can run the program with ÿÿÿÿÿÿÿÿÿ

214,option of Start Menu."

214,PDA stands for = -----------

214,Files or Folders can be zipped.

214,"using ----------- various components

214,on motherboard communicate with each other."

214,"The period of first generation

214,computer was in between ------- to 1956."

214,"On status bar, Views like Print Layout,

214,Full Screen Reading View, Web Layout, Outline Draft etc. These buttons are called as ""View Buttons""."

214,"If we want more space from the left

214,margin for a particular paragraph, then use ???? indent"

214,"In MS Word, In order to save a file,

214,on the Standard toolbar, click on the Save button."

214,"Portrait and Landscape are ?Page

214,Orientation."

214,"There are ?????.. Alignments in

214,MS-WORD."

214,"Toolbar near to File Menu is called as

214,???.."

214,"To select a whole row, click the

214,mouse pointer on the number of ÿÿÿÿÿÿÿ"

214,"With ÿÿÿÿÿÿÿÿÿfunction, we get minimum

214,value in Range"

214,"If we increase the height of the row,

214,the text matter automatically gets shifted to the ÿÿÿÿÿÿÿÿÿof the Cell"

214,"Underline is used to make the text

214,ÿÿÿÿÿÿÿÿÿÿÿin the selected cells"

214,"In PowerPoint Broadcast Slide Show

214,option is available under

214,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿribbon."

214,"To add copy of current slide -------------

214,--- command is used by clicking on the slide with mouse."

214,"To Change Slide layout ----------------- option selected on Home tab in slide

214,group."

214,"Presentation files are made in ----------

214,- type of software."

214,"Video file can be inserted in the slide

214,through -"

214,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿIs Search Engine.

214,"You can send attachment with E-Mail,

214,by ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿIt"

214,"Main computer on Network is called

214,as ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ"

214,"ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿShows a location address

214,on the Browser."

214,"While Message data sending,

214,connecting and breaking are controlled by ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ"
